,ind,occ,union,public_sector,multiple_jobs,salary,ptm,gender,self
818,public administration,middle management,1,1,1,79540.81632653062,0,1,1
819,"professional, scientific and technical services",professional in business and finance,0,0,0,33142.00680272109,0,1,0
820,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,42421.768707483,1,0,0
821,"business, building and other support services","wholesale, technical, insurance, real estate sales specialists",0,0,0,63632.65306122449,0,1,0
822,manufacturing,transport and equipment operators,0,0,0,53027.21088435374,0,0,0
823,"business, building and other support services",occupation in protective services,1,0,1,27839.28571428572,0,0,0
824,manufacturing,clerical and supervisor occupations,0,0,0,53027.21088435374,0,1,0
825,utilities,middle management,1,1,0,145824.8299319728,0,0,0
826,manufacturing,clerical and supervisor occupations,0,0,1,59655.61224489796,0,1,0
827,other services,,0,0,0,53027.21088435374,0,1,0
828,educational services,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
829,educational services,teachers and professors,1,1,0,119311.22448979592,0,1,0
830,health care and social assistance,"occupations in social science, government service and religion",0,0,0,34467.68707482993,0,1,0
831,manufacturing,"wholesale, technical, insurance, real estate sales specialists",0,0,0,132568.02721088435,0,0,0
832,educational services,teachers and professors,1,1,0,76226.6156462585,0,1,0
833,manufacturing,transport and equipment operators,1,0,0,82855.01700680272,0,0,0
834,"professional, scientific and technical services",middle management,0,0,0,79540.81632653062,0,1,0
835,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,38444.727891156464,0,1,0
836,transportation and warehousing,contractors and supervisors in trades and transportation,0,0,0,60981.292517006805,0,0,0
837,construction,construction trades,0,0,0,53027.21088435374,0,0,0
838,manufacturing,natural and applied sciences,0,0,0,125939.62585034016,0,0,0
839,other services,"chefs and cooks, food and beverage service",0,0,0,47724.48979591837,0,0,0
840,utilities,natural and applied sciences,1,1,0,122625.42517006805,0,0,0
841,manufacturing,machine operators and assemblers in manufacturing,0,0,0,69598.21428571429,0,1,0
842,construction,natural and applied sciences,0,0,0,92797.61904761904,0,0,0
843,transportation and warehousing,transport and equipment operators,0,0,1,33142.00680272109,0,0,0
844,utilities,other trades,1,1,0,92797.61904761904,0,1,0
845,health care and social assistance,professional in health,1,1,1,59655.61224489796,0,1,0
846,accommodation and food services,,0,0,0,20548.044217687075,0,1,0
847,manufacturing,clerical and supervisor occupations,0,0,0,39770.40816326531,0,1,0
848,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,1,0,0,145824.8299319728,0,0,0
849,educational services,teachers and professors,1,1,0,125939.62585034016,0,0,0
850,health care and social assistance,"technical, assisting and related in health",1,0,0,42421.768707483,0,1,0
851,"finance, insurance, real estate and leasing",clerical and supervisor occupations,1,0,0,42421.768707483,0,1,0
852,trade,clerical and supervisor occupations,0,0,0,26513.60544217687,0,0,0
853,health care and social assistance,"occupations in social science, government service and religion",0,0,1,43747.44897959184,0,1,0
854,health care and social assistance,"occupations in social science, government service and religion",1,1,1,89483.41836734694,0,1,0
855,health care and social assistance,"occupations in social science, government service and religion",1,0,0,76226.6156462585,0,1,0
856,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,30490.6462585034,0,1,0
857,manufacturing,middle management,0,0,0,185595.2380952381,0,0,0
858,manufacturing,natural and applied sciences,0,0,0,92797.61904761904,0,0,0
859,public administration,"occupations in social science, government service and religion",0,1,1,72912.4149659864,0,0,1
860,other services,"occupations in social science, government service and religion",0,0,1,47724.48979591837,1,0,1
861,public administration,occupation in protective services,1,1,0,92797.61904761904,0,0,0
862,manufacturing,"labourer in processing, manufacturing and utilities",1,0,0,38444.727891156464,0,1,0
863,"information, culture and recreation","retail salespersons, sales clerks, cashiers",0,0,1,5037.585034013606,0,1,0
864,trade,,0,0,0,265136.0544217687,0,0,0
865,educational services,teachers and professors,1,1,1,25850.76530612245,1,0,0
866,health care and social assistance,"technical, assisting and related in health",0,0,0,15908.163265306122,1,1,0
867,"information, culture and recreation",,0,1,0,79540.81632653062,0,1,0
868,health care and social assistance,"financial, secretarial and administrative",0,0,0,50375.85034013606,0,1,0
869,other services,natural and applied sciences,1,0,0,99426.02040816328,0,0,0
870,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,53027.21088435374,0,1,0
871,other services,"financial, secretarial and administrative",0,0,0,89483.41836734694,0,1,0
872,"business, building and other support services",,0,0,0,218737.2448979592,0,1,0
873,"professional, scientific and technical services",natural and applied sciences,0,0,0,119311.22448979592,0,0,0
874,trade,clerical and supervisor occupations,0,0,0,86169.21768707484,0,0,0
875,manufacturing,natural and applied sciences,0,0,0,66284.01360544217,0,1,0
876,trade,"retail salespersons, sales clerks, cashiers",0,0,0,30490.6462585034,0,0,0
877,"information, culture and recreation",natural and applied sciences,0,0,0,92797.61904761904,0,0,1
878,educational services,middle management,0,1,0,51701.5306122449,0,1,0
879,manufacturing,"labourer in processing, manufacturing and utilities",0,0,0,59655.61224489796,0,1,0
880,"information, culture and recreation","labourer in processing, manufacturing and utilities",0,0,0,19885.20408163265,0,0,0
881,educational services,teachers and professors,1,1,0,72912.4149659864,0,0,0
882,educational services,"financial, secretarial and administrative",1,1,0,43747.44897959184,0,1,0
883,health care and social assistance,childcare and home support workers,0,0,0,46398.80952380953,0,1,0
884,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,41096.08843537415,0,0,0
885,trade,other trades,0,0,0,50375.85034013606,0,0,0
886,trade,clerical and supervisor occupations,0,0,0,69598.21428571429,0,1,0
887,"finance, insurance, real estate and leasing",middle management,0,0,0,72912.4149659864,0,1,0
888,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,106054.42176870749,0,0,0
889,public administration,"financial, secretarial and administrative",1,1,0,66284.01360544217,0,1,0
890,educational services,"occupations in social science, government service and religion",0,1,1,72912.4149659864,0,0,1
891,manufacturing,professional in business and finance,0,0,0,132568.02721088435,0,0,0
892,transportation and warehousing,transport and equipment operators,1,1,0,62969.81292517008,0,1,0
893,educational services,childcare and home support workers,1,1,0,17233.843537414967,0,1,0
894,"professional, scientific and technical services","wholesale, technical, insurance, real estate sales specialists",0,0,0,42421.768707483,0,0,1
895,construction,"trades helpers, construction, and transportation labourers",0,0,0,58329.93197278912,0,0,0
896,educational services,natural and applied sciences,1,1,0,69598.21428571429,0,0,0
897,public administration,"occupations in social science, government service and religion",1,1,0,102740.22108843538,0,1,0
898,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,1,1,0,69598.21428571429,0,0,0
899,public administration,"financial, secretarial and administrative",1,1,0,96111.81972789115,0,0,0
900,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,0,38444.727891156464,0,0,0
901,manufacturing,other trades,1,0,0,86169.21768707484,0,0,0
902,health care and social assistance,"chefs and cooks, food and beverage service",0,0,0,37119.04761904762,0,1,0
903,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,58329.93197278912,0,0,0
904,health care and social assistance,middle management,0,1,0,165710.03401360544,0,1,0
905,health care and social assistance,childcare and home support workers,0,0,0,34467.68707482993,0,1,0
906,public administration,"financial, secretarial and administrative",1,1,0,89483.41836734694,0,1,0
907,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,30490.6462585034,1,1,0
908,transportation and warehousing,clerical and supervisor occupations,0,0,1,31816.326530612245,0,1,0
909,health care and social assistance,"technical, assisting and related in health",1,1,0,51701.5306122449,1,1,0
910,"information, culture and recreation",,1,0,0,51701.5306122449,0,0,0
911,manufacturing,,1,0,0,23862.244897959183,1,1,0
912,"finance, insurance, real estate and leasing",,0,0,0,178966.83673469388,0,0,0
913,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,96111.81972789115,0,1,0
914,"professional, scientific and technical services",middle management,0,0,1,55678.57142857144,0,0,1
915,"professional, scientific and technical services",middle management,0,0,0,139196.42857142858,0,0,0
916,trade,other trades,0,0,0,69598.21428571429,0,0,0
917,"professional, scientific and technical services",professional in business and finance,0,0,0,92797.61904761904,0,0,0
918,educational services,teachers and professors,1,1,0,145824.8299319728,0,0,0
919,public administration,clerical and supervisor occupations,0,1,0,35793.36734693878,0,1,0
920,trade,,1,0,0,46398.80952380953,0,0,0
921,public administration,"occupations in social science, government service and religion",1,1,0,82855.01700680272,0,0,0
922,trade,,0,0,0,23199.404761904763,0,1,0
923,educational services,teachers and professors,1,1,1,125939.62585034016,1,1,1
924,public administration,professional in business and finance,1,1,0,79540.81632653062,0,1,0
925,public administration,clerical and supervisor occupations,0,1,0,39770.40816326531,1,1,0
926,other services,"financial, secretarial and administrative",0,0,0,45073.12925170068,0,1,0
927,trade,"retail salespersons, sales clerks, cashiers",0,0,0,18559.52380952381,1,1,0
928,"information, culture and recreation",middle management,0,0,0,115997.02380952382,0,1,0
929,trade,middle management,0,0,0,82855.01700680272,0,0,0
930,public administration,"occupations in social science, government service and religion",0,1,0,69598.21428571429,0,1,0
931,health care and social assistance,"technical, assisting and related in health",1,1,1,96111.81972789115,0,1,0
932,transportation and warehousing,transport and equipment operators,0,0,1,39770.40816326531,0,0,1
933,transportation and warehousing,transport and equipment operators,0,0,0,60981.292517006805,0,0,0
934,public administration,,1,1,0,165710.03401360544,0,0,0
935,accommodation and food services,,0,0,0,20548.044217687075,0,1,0
936,manufacturing,machine operators and assemblers in manufacturing,0,0,1,46398.80952380953,0,0,0
937,"information, culture and recreation",,0,1,0,20548.044217687075,1,0,0
938,transportation and warehousing,teachers and professors,0,0,0,63632.65306122449,0,0,0
939,manufacturing,other trades,0,0,0,92797.61904761904,0,0,0
940,trade,"retail salespersons, sales clerks, cashiers",0,0,0,54352.89115646259,0,1,0
941,accommodation and food services,middle management,0,0,0,63632.65306122449,0,0,0
942,educational services,"financial, secretarial and administrative",0,1,0,72912.4149659864,0,1,0
943,manufacturing,machine operators and assemblers in manufacturing,0,0,0,72912.4149659864,0,0,0
944,trade,natural and applied sciences,0,0,0,139196.42857142858,0,0,0
945,trade,"trades helpers, construction, and transportation labourers",1,0,0,43747.44897959184,0,0,0
946,"business, building and other support services","trades helpers, construction, and transportation labourers",1,0,0,42421.768707483,0,0,0
947,other services,middle management,0,0,0,96111.81972789115,0,1,0
948,health care and social assistance,"occupations in social science, government service and religion",1,1,0,86169.21768707484,0,1,0
949,health care and social assistance,"technical, assisting and related in health",1,0,0,27176.44557823129,0,1,0
950,manufacturing,machine operators and assemblers in manufacturing,0,0,0,82855.01700680272,0,0,0
951,educational services,teachers and professors,1,1,0,99426.02040816328,0,1,0
952,transportation and warehousing,transport and equipment operators,0,0,0,30490.6462585034,0,0,1
953,"business, building and other support services",clerical and supervisor occupations,0,0,0,38444.727891156464,0,0,0
954,"professional, scientific and technical services",natural and applied sciences,0,1,0,129253.82653061223,0,0,0
955,transportation and warehousing,other trades,0,0,0,30490.6462585034,0,0,0
956,"finance, insurance, real estate and leasing",middle management,0,0,0,122625.42517006805,0,0,0
957,public administration,occupation in protective services,1,1,0,115997.02380952382,0,0,0
958,manufacturing,clerical and supervisor occupations,0,0,0,63632.65306122449,0,1,0
959,"professional, scientific and technical services",middle management,0,0,0,245250.8503401361,0,0,0
960,public administration,natural and applied sciences,1,1,0,115997.02380952382,0,0,0
961,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,58329.93197278912,0,1,0
962,public administration,middle management,0,1,0,159081.63265306124,0,0,0
963,educational services,teachers and professors,1,1,0,72912.4149659864,0,0,0
964,construction,professional in business and finance,0,0,0,72912.4149659864,0,1,0
965,manufacturing,natural and applied sciences,0,0,0,132568.02721088435,0,0,0
966,other services,,0,0,0,384447.2789115646,0,1,0
967,manufacturing,middle management,0,0,0,79540.81632653062,0,1,0
968,public administration,clerical and supervisor occupations,1,1,0,76226.6156462585,0,1,0
969,manufacturing,middle management,0,0,0,89483.41836734694,0,0,0
970,"professional, scientific and technical services",natural and applied sciences,0,0,0,72912.4149659864,0,1,0
971,"information, culture and recreation",,1,1,1,51701.5306122449,0,0,0
972,public administration,clerical and supervisor occupations,1,1,0,72912.4149659864,0,1,0
973,transportation and warehousing,transport and equipment operators,0,0,0,46398.80952380953,1,0,0
974,construction,"trades helpers, construction, and transportation labourers",0,0,0,49050.17006802721,0,0,0
975,"business, building and other support services",occupation in protective services,0,0,0,29164.96598639456,0,1,0
976,educational services,teachers and professors,0,1,0,7622.661564625851,1,1,0
977,"finance, insurance, real estate and leasing",middle management,0,0,0,122625.42517006805,0,1,0
978,manufacturing,machine operators and assemblers in manufacturing,0,0,0,82855.01700680272,0,0,0
979,"finance, insurance, real estate and leasing",middle management,0,0,0,132568.02721088435,0,1,0
980,health care and social assistance,"technical, assisting and related in health",1,0,0,27839.28571428572,1,1,0
981,other services,"chefs and cooks, food and beverage service",0,0,0,18559.52380952381,1,1,0
982,manufacturing,senior management,0,0,0,218737.2448979592,0,0,0
983,"professional, scientific and technical services",natural and applied sciences,0,0,0,86169.21768707484,0,0,0
984,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,49050.17006802721,0,1,0
985,manufacturing,"trades helpers, construction, and transportation labourers",0,0,0,53027.21088435374,0,0,0
986,health care and social assistance,,1,1,0,54352.89115646259,0,1,0
987,"finance, insurance, real estate and leasing","financial, secretarial and administrative",1,0,0,115997.02380952382,0,0,0
988,utilities,clerical and supervisor occupations,1,0,1,79540.81632653062,0,1,0
989,educational services,teachers and professors,1,1,0,89483.41836734694,0,1,0
990,transportation and warehousing,transport and equipment operators,0,0,0,76226.6156462585,0,0,0
991,accommodation and food services,,0,0,0,33142.00680272109,0,1,0
992,trade,"retail salespersons, sales clerks, cashiers",0,0,0,46398.80952380953,0,1,0
993,health care and social assistance,"technical, assisting and related in health",1,1,0,64958.333333333336,0,1,0
994,health care and social assistance,professional in health,1,1,1,86169.21768707484,0,1,0
995,"business, building and other support services",teachers and professors,1,0,0,39770.40816326531,0,1,0
996,educational services,middle management,1,1,1,63632.65306122449,0,1,1
997,public administration,clerical and supervisor occupations,1,1,0,55678.57142857144,0,0,0
998,trade,"retail salespersons, sales clerks, cashiers",0,0,0,27176.44557823129,0,1,0
999,manufacturing,natural and applied sciences,0,0,0,54352.89115646259,0,1,0
1000,educational services,teachers and professors,1,1,0,76226.6156462585,0,0,0
1001,manufacturing,middle management,0,0,0,122625.42517006805,0,1,0
1002,other services,childcare and home support workers,0,0,0,19222.363945578232,0,1,0
1003,health care and social assistance,professional in health,1,1,0,102740.22108843538,0,1,0
1004,educational services,middle management,0,1,0,82855.01700680272,0,1,0
1005,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,33142.00680272109,0,1,0
1006,trade,,0,0,0,30490.6462585034,1,1,1
1007,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,92797.61904761904,0,0,0
1008,public administration,occupation in protective services,0,1,0,115997.02380952382,0,0,0
1009,educational services,teachers and professors,1,1,0,119311.22448979592,0,1,0
1010,construction,professional in business and finance,0,0,0,72912.4149659864,0,1,0
1011,educational services,teachers and professors,0,1,0,34467.68707482993,0,1,0
1012,public administration,clerical and supervisor occupations,1,1,0,59655.61224489796,0,0,0
1013,educational services,teachers and professors,1,1,0,125939.62585034016,0,0,0
1014,trade,clerical and supervisor occupations,0,0,0,54352.89115646259,0,0,0
1015,manufacturing,machine operators and assemblers in manufacturing,0,0,0,79540.81632653062,0,0,0
1016,trade,,1,0,0,7291.24149659864,1,0,0
1017,health care and social assistance,"technical, assisting and related in health",1,1,1,112682.8231292517,0,0,0
1018,educational services,,1,1,0,49050.17006802721,0,1,0
1019,health care and social assistance,,0,1,0,51701.5306122449,0,1,0
1020,manufacturing,natural and applied sciences,0,0,0,172338.43537414967,0,1,0
1021,public administration,natural and applied sciences,1,1,0,145824.8299319728,0,0,0
1022,educational services,teachers and professors,1,1,0,109368.6224489796,0,0,0
1023,educational services,middle management,1,0,0,152453.231292517,0,0,0
1024,public administration,clerical and supervisor occupations,1,1,0,69598.21428571429,0,1,0
1025,"finance, insurance, real estate and leasing",middle management,0,0,0,115997.02380952382,0,1,0
1026,accommodation and food services,"chefs and cooks, food and beverage service",1,0,0,25850.76530612245,1,0,0
1027,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,66284.01360544217,0,1,0
1028,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,57004.251700680274,0,1,0
1029,educational services,teachers and professors,1,1,0,115997.02380952382,0,0,0
1030,public administration,middle management,0,1,0,115997.02380952382,0,0,0
1031,health care and social assistance,"technical, assisting and related in health",0,0,1,102740.22108843538,0,1,0
1032,manufacturing,other trades,0,0,0,125939.62585034016,0,0,0
1033,manufacturing,natural and applied sciences,0,0,0,159081.63265306124,0,0,0
1034,accommodation and food services,,0,0,0,304906.462585034,0,0,0
1035,other services,other trades,0,0,0,76226.6156462585,0,0,0
1036,manufacturing,middle management,0,0,0,62306.97278911565,0,1,0
1037,construction,"financial, secretarial and administrative",0,0,0,25187.92517006803,0,1,0
1038,transportation and warehousing,,1,0,0,69598.21428571429,0,0,0
1039,health care and social assistance,"occupations in social science, government service and religion",0,0,1,16571.003401360544,1,1,0
1040,trade,middle management,0,0,0,76226.6156462585,0,1,0
1041,trade,middle management,0,0,0,112682.8231292517,0,0,0
1042,utilities,clerical and supervisor occupations,1,1,0,72912.4149659864,0,1,0
1043,educational services,teachers and professors,0,1,0,122625.42517006805,0,0,0
1044,manufacturing,machine operators and assemblers in manufacturing,0,0,0,69598.21428571429,0,0,0
1045,"professional, scientific and technical services",natural and applied sciences,0,0,0,47724.48979591837,0,1,0
1046,transportation and warehousing,transport and equipment operators,0,0,0,49050.17006802721,0,1,0
1047,public administration,clerical and supervisor occupations,1,1,0,92797.61904761904,0,1,0
1048,"information, culture and recreation",natural and applied sciences,0,0,0,89483.41836734694,0,1,0
1049,construction,contractors and supervisors in trades and transportation,1,0,0,96111.81972789115,0,0,0
1050,accommodation and food services,"chefs and cooks, food and beverage service",1,0,0,57004.251700680274,0,0,0
1051,health care and social assistance,middle management,0,0,0,89483.41836734694,0,1,0
1052,health care and social assistance,"occupations in social science, government service and religion",1,0,0,102740.22108843538,0,1,0
1053,health care and social assistance,clerical and supervisor occupations,1,1,1,63632.65306122449,0,1,0
1054,trade,"retail salespersons, sales clerks, cashiers",1,0,0,21210.884353741498,1,1,0
1055,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,0,0,0,165710.03401360544,0,0,0
1056,educational services,teachers and professors,1,1,0,45073.12925170068,0,1,0
1057,public administration,"occupations in art, culture, recreation and sport",1,1,0,66284.01360544217,0,1,0
1058,trade,,0,0,0,53027.21088435374,0,1,0
1059,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,139196.42857142858,0,1,0
1060,"finance, insurance, real estate and leasing",middle management,0,0,0,62306.97278911565,0,1,0
1061,"information, culture and recreation",,0,1,0,25187.92517006803,1,0,0
1062,transportation and warehousing,,1,0,1,26513.60544217687,1,0,0
1063,health care and social assistance,natural and applied sciences,1,1,1,62306.97278911565,0,1,0
1064,educational services,teachers and professors,1,1,1,125939.62585034016,0,1,1
1065,trade,,0,0,0,33142.00680272109,0,0,0
1066,"business, building and other support services",clerical and supervisor occupations,0,0,0,41096.08843537415,0,1,0
1067,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,35793.36734693878,0,1,0
1068,educational services,,1,1,0,59655.61224489796,0,1,0
1069,trade,,1,0,0,30490.6462585034,0,0,0
1070,manufacturing,professional in business and finance,0,0,0,79540.81632653062,0,1,0
1071,trade,"retail salespersons, sales clerks, cashiers",0,0,1,25850.76530612245,1,1,0
1072,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,57004.251700680274,0,0,0
1073,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,46398.80952380953,0,1,0
1074,"finance, insurance, real estate and leasing","wholesale, technical, insurance, real estate sales specialists",0,0,0,53027.21088435374,0,1,0
1075,trade,transport and equipment operators,0,0,0,24525.08503401361,0,0,0
1076,trade,middle management,0,0,0,152453.231292517,0,0,0
1077,"information, culture and recreation","occupations in art, culture, recreation and sport",1,0,0,106054.42176870749,0,0,0
1078,educational services,teachers and professors,1,1,0,86169.21768707484,0,1,0
1079,health care and social assistance,"technical, assisting and related in health",0,0,0,57004.251700680274,0,1,0
1080,trade,,0,0,0,12593.962585034014,1,1,0
1081,other services,"financial, secretarial and administrative",0,0,1,13588.222789115647,1,1,0
1082,trade,"retail salespersons, sales clerks, cashiers",1,0,0,26513.60544217687,1,1,0
1083,accommodation and food services,"retail salespersons, sales clerks, cashiers",0,0,0,19222.363945578232,0,0,0
1084,transportation and warehousing,other trades,0,0,0,86169.21768707484,0,0,0
1085,health care and social assistance,"chefs and cooks, food and beverage service",0,0,0,34467.68707482993,0,1,0
1086,health care and social assistance,professional in health,0,0,0,62306.97278911565,1,1,0
1087,trade,"retail salespersons, sales clerks, cashiers",0,0,0,26513.60544217687,0,1,0
1088,"information, culture and recreation",,0,0,0,21210.884353741498,0,0,0
1089,transportation and warehousing,transport and equipment operators,1,0,0,37119.04761904762,0,0,0
1090,construction,transport and equipment operators,0,0,0,86169.21768707484,0,0,0
1091,other services,"occupations in art, culture, recreation and sport",1,0,0,89483.41836734694,0,1,0
1092,trade,"retail salespersons, sales clerks, cashiers",0,0,0,86169.21768707484,0,0,0
1093,manufacturing,clerical and supervisor occupations,1,0,0,109368.6224489796,0,0,0
1094,utilities,other trades,1,1,0,198852.0408163265,0,0,0
1095,educational services,middle management,1,1,0,59655.61224489796,0,1,0
1096,manufacturing,machine operators and assemblers in manufacturing,0,0,0,106054.42176870749,0,0,0
1097,accommodation and food services,,1,0,0,29164.96598639456,0,0,0
1098,manufacturing,other trades,0,0,0,76226.6156462585,0,0,0
1099,educational services,teachers and professors,1,1,0,119311.22448979592,0,0,0
1100,health care and social assistance,"technical, assisting and related in health",0,0,1,39770.40816326531,0,0,1
1101,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,24525.08503401361,0,1,0
1102,construction,,1,0,0,623069.7278911564,0,0,0
1103,health care and social assistance,clerical and supervisor occupations,0,1,0,62306.97278911565,0,1,0
1104,health care and social assistance,professional in health,0,0,0,112682.8231292517,0,1,0
1105,utilities,other trades,1,1,0,115997.02380952382,0,0,0
1106,construction,"financial, secretarial and administrative",1,0,0,82855.01700680272,0,0,0
1107,"professional, scientific and technical services",natural and applied sciences,0,0,1,92797.61904761904,0,0,1
1108,"professional, scientific and technical services",natural and applied sciences,0,0,1,92797.61904761904,0,0,1
1109,"finance, insurance, real estate and leasing",,0,0,0,54352.89115646259,0,0,0
1110,public administration,clerical and supervisor occupations,1,1,0,64958.333333333336,0,1,0
1111,educational services,teachers and professors,1,1,0,43747.44897959184,0,1,0
1112,public administration,natural and applied sciences,1,1,0,129253.82653061223,0,0,0
1113,public administration,occupation in protective services,1,1,1,159081.63265306124,0,0,0
1114,"professional, scientific and technical services",middle management,0,0,0,115997.02380952382,0,1,0
1115,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,47724.48979591837,0,1,0
1116,manufacturing,machine operators and assemblers in manufacturing,0,0,0,69598.21428571429,0,0,0
1117,trade,clerical and supervisor occupations,0,0,0,22536.56462585034,0,1,0
1118,educational services,teachers and professors,1,1,0,122625.42517006805,0,0,0
1119,construction,contractors and supervisors in trades and transportation,1,0,0,96111.81972789115,0,0,0
1120,educational services,middle management,0,1,0,122625.42517006805,0,1,0
1121,manufacturing,clerical and supervisor occupations,0,0,0,38444.727891156464,0,1,0
1122,educational services,teachers and professors,1,1,0,119311.22448979592,0,1,0
1123,trade,clerical and supervisor occupations,0,0,0,15245.3231292517,1,1,0
1124,manufacturing,machine operators and assemblers in manufacturing,1,0,0,59655.61224489796,0,0,0
1125,transportation and warehousing,clerical and supervisor occupations,0,0,0,63632.65306122449,0,0,0
1126,"professional, scientific and technical services",natural and applied sciences,0,0,0,86169.21768707484,0,0,0
1127,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,1,41096.08843537415,0,1,0
1128,public administration,natural and applied sciences,1,1,0,112682.8231292517,0,0,0
1129,public administration,clerical and supervisor occupations,0,1,0,106054.42176870749,0,1,0
1130,transportation and warehousing,"trades helpers, construction, and transportation labourers",0,0,0,50375.85034013606,0,0,0
1131,manufacturing,,0,0,0,31816.326530612245,0,1,0
1132,manufacturing,"wholesale, technical, insurance, real estate sales specialists",0,0,0,89483.41836734694,0,1,0
1133,manufacturing,natural and applied sciences,0,0,0,125939.62585034016,0,0,0
1134,"professional, scientific and technical services",natural and applied sciences,0,0,0,132568.02721088435,0,0,0
1135,educational services,natural and applied sciences,1,1,0,89483.41836734694,0,1,0
1136,health care and social assistance,"technical, assisting and related in health",0,0,0,66284.01360544217,0,1,0
1137,public administration,natural and applied sciences,0,1,0,112682.8231292517,0,1,0
1138,transportation and warehousing,other trades,0,0,1,54352.89115646259,0,0,0
1139,manufacturing,other trades,0,0,0,92797.61904761904,0,0,0
1140,public administration,"occupations in social science, government service and religion",1,1,0,119311.22448979592,0,1,0
1141,construction,clerical and supervisor occupations,0,0,0,54352.89115646259,0,1,0
1142,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,152453.231292517,0,0,0
1143,health care and social assistance,professional in health,1,1,0,115997.02380952382,0,1,0
1144,transportation and warehousing,other trades,0,0,0,89483.41836734694,0,0,0
1145,other services,"retail salespersons, sales clerks, cashiers",0,0,0,106054.42176870749,0,0,0
1146,public administration,clerical and supervisor occupations,1,1,0,76226.6156462585,0,1,0
1147,transportation and warehousing,clerical and supervisor occupations,1,1,0,76226.6156462585,0,0,0
1148,"finance, insurance, real estate and leasing",professional in business and finance,0,0,1,57004.251700680274,1,1,0
1149,health care and social assistance,clerical and supervisor occupations,1,1,0,62306.97278911565,0,1,0
1150,educational services,teachers and professors,0,0,0,59655.61224489796,0,1,0
1151,manufacturing,machine operators and assemblers in manufacturing,0,0,0,60981.292517006805,0,0,0
1152,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,92797.61904761904,0,0,0
1153,manufacturing,machine operators and assemblers in manufacturing,0,0,0,47724.48979591837,0,0,0
1154,manufacturing,machine operators and assemblers in manufacturing,1,0,0,50375.85034013606,0,1,0
1155,trade,"retail salespersons, sales clerks, cashiers",0,0,0,19885.20408163265,1,1,0
1156,transportation and warehousing,contractors and supervisors in trades and transportation,0,0,0,112682.8231292517,0,0,0
1157,trade,other trades,0,0,0,86169.21768707484,0,0,0
1158,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,17233.843537414967,1,1,0
1159,trade,"retail salespersons, sales clerks, cashiers",0,0,0,17233.843537414967,0,0,0
1160,"information, culture and recreation","occupations in social science, government service and religion",0,1,1,21210.884353741498,1,1,0
1161,trade,,1,0,0,46398.80952380953,0,0,0
1162,trade,middle management,0,0,0,192223.6394557823,0,0,0
1163,"professional, scientific and technical services",,0,0,0,437474.4897959184,0,0,0
1164,manufacturing,natural and applied sciences,0,0,0,132568.02721088435,0,1,0
1165,manufacturing,other trades,0,0,0,45073.12925170068,0,0,0
1166,manufacturing,machine operators and assemblers in manufacturing,0,0,0,76226.6156462585,0,0,0
1167,educational services,"financial, secretarial and administrative",1,1,0,72912.4149659864,0,1,0
1168,educational services,teachers and professors,1,1,1,33142.00680272109,0,1,0
1169,construction,other trades,1,0,1,99426.02040816328,0,0,0
1170,transportation and warehousing,middle management,0,0,0,37119.04761904762,1,1,0
1171,manufacturing,"labourer in processing, manufacturing and utilities",1,0,1,19885.20408163265,1,1,0
1172,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,58329.93197278912,0,1,0
1173,educational services,teachers and professors,1,1,0,92797.61904761904,0,1,0
1174,utilities,clerical and supervisor occupations,1,0,0,50375.85034013606,0,1,0
1175,"professional, scientific and technical services",middle management,0,0,0,72912.4149659864,0,0,0
